Event: solarUpdate at time 0 with data 0.0
Event: carStopsCharging at time 22138.0 with data Car ID: 11, chargingVolume: 29, connectionTime: 49432 parkingPlace: 4, amountCharged: 29.000000000000004, carParksVisited: ['4'], arrivalTime: 4738
Event: carArrives at time 23932 with data Car ID: 23, chargingVolume: 5, connectionTime: 64444 parkingPlace: 2, amountCharged: 0, carParksVisited: ['2'], arrivalTime: 23932
Event: carBeginsCharging at time 23932 with data Car ID: 23, chargingVolume: 5, connectionTime: 64444 parkingPlace: 2, amountCharged: 0, carParksVisited: ['2'], arrivalTime: 23932
Event: carExpectedStopCharging at time 23954.0 with data Car ID: 3, chargingVolume: 38, connectionTime: 60295 parkingPlace: 5, amountCharged: 0, carParksVisited: ['5'], arrivalTime: 1154
Event: carStopsCharging at time 23954.0 with data Car ID: 3, chargingVolume: 38, connectionTime: 60295 parkingPlace: 5, amountCharged: 38.0, carParksVisited: ['5'], arrivalTime: 1154
Event: carArrives at time 24009 with data Car ID: 24, chargingVolume: 6, connectionTime: 26657 parkingPlace: 2, amountCharged: 0, carParksVisited: ['2'], arrivalTime: 24009
Event: carBeginsCharging at time 24009 with data Car ID: 24, chargingVolume: 6, connectionTime: 26657 parkingPlace: 2, amountCharged: 0, carParksVisited: ['2'], arrivalTime: 24009
Event: carArrives at time 24161 with data Car ID: 25, chargingVolume: 60, connectionTime: 84114 parkingPlace: 2, amountCharged: 0, carParksVisited: ['2'], arrivalTime: 24161
Event: solarUpdate at time 25200 with data 44.822380949469405
Event: carArrives at time 25405 with data Car ID: 26, chargingVolume: 6, connectionTime: 64057 parkingPlace: 4, amountCharged: 0, carParksVisited: ['4'], arrivalTime: 25405
Event: carBeginsCharging at time 25405 with data Car ID: 26, chargingVolume: 6, connectionTime: 64057 parkingPlace: 4, amountCharged: 0, carParksVisited: ['4'], arrivalTime: 25405
Event: carExpectedStopCharging at time 25560.0 with data Car ID: 12, chargingVolume: 33, connectionTime: 34927 parkingPlace: 7, amountCharged: 0, carParksVisited: ['7'], arrivalTime: 5760
Event: carStopsCharging at time 25560.0 with data Car ID: 12, chargingVolume: 33, connectionTime: 34927 parkingPlace: 7, amountCharged: 33.0, carParksVisited: ['7'], arrivalTime: 5760
Event: carArrives at time 25633 with data Car ID: 27, chargingVolume: 0, connectionTime: 32180 parkingPlace: 7, amountCharged: 0, carParksVisited: ['7'], arrivalTime: 25633
Event: carBeginsCharging at time 25633 with data Car ID: 27, chargingVolume: 0, connectionTime: 32180 parkingPlace: 7, amountCharged: 0, carParksVisited: ['7'], arrivalTime: 25633
Event: carExpectedStopCharging at time 25633.0 with data Car ID: 27, chargingVolume: 0, connectionTime: 32180 parkingPlace: 7, amountCharged: 0, carParksVisited: ['7'], arrivalTime: 25633
Event: carStopsCharging at time 25633.0 with data Car ID: 27, chargingVolume: 0, connectionTime: 32180 parkingPlace: 7, amountCharged: 0.0, carParksVisited: ['7'], arrivalTime: 25633
Event: carArrives at time 25745 with data Car ID: 28, chargingVolume: 37, connectionTime: 155229 parkingPlace: 7, amountCharged: 0, carParksVisited: ['7'], arrivalTime: 25745
Event: carArrives at time 26177 with data Car ID: 29, chargingVolume: 6, connectionTime: 23048 parkingPlace: 2, amountCharged: 0, carParksVisited: ['2'], arrivalTime: 26177
Event: carBeginsCharging at time 26177 with data Car ID: 29, chargingVolume: 6, connectionTime: 23048 parkingPlace: 2, amountCharged: 0, carParksVisited: ['2'], arrivalTime: 26177
Event: carArrives at time 26443 with data Car ID: 30, chargingVolume: 51, connectionTime: 138727 parkingPlace: 6, amountCharged: 0, carParksVisited: ['6'], arrivalTime: 26443
Event: carArrives at time 26627 with data Car ID: 31, chargingVolume: 20, connectionTime: 32025 parkingPlace: 2, amountCharged: 0, carParksVisited: ['2'], arrivalTime: 26627
Event: carBeginsCharging at time 26627 with data Car ID: 31, chargingVolume: 20, connectionTime: 32025 parkingPlace: 2, amountCharged: 0, carParksVisited: ['2'], arrivalTime: 26627
Event: carArrives at time 26677 with data Car ID: 32, chargingVolume: 8, connectionTime: 11884 parkingPlace: 1, amountCharged: 0, carParksVisited: ['1'], arrivalTime: 26677
Event: carBeginsCharging at time 26677 with data Car ID: 32, chargingVolume: 8, connectionTime: 11884 parkingPlace: 1, amountCharged: 0, carParksVisited: ['1'], arrivalTime: 26677
Event: carArrives at time 26711 with data Car ID: 33, chargingVolume: 5, connectionTime: 17941 parkingPlace: 5, amountCharged: 0, carParksVisited: ['5'], arrivalTime: 26711
Event: carBeginsCharging at time 26711 with data Car ID: 33, chargingVolume: 5, connectionTime: 17941 parkingPlace: 5, amountCharged: 0, carParksVisited: ['5'], arrivalTime: 26711
Event: carArrives at time 26760 with data Car ID: 34, chargingVolume: 4, connectionTime: 46227 parkingPlace: 2, amountCharged: 0, carParksVisited: ['2'], arrivalTime: 26760
Event: carBeginsCharging at time 26760 with data Car ID: 34, chargingVolume: 4, connectionTime: 46227 parkingPlace: 2, amountCharged: 0, carParksVisited: ['2'], arrivalTime: 26760
Event: carExpectedStopCharging at time 26760.0 with data Car ID: 18, chargingVolume: 31, connectionTime: 41018 parkingPlace: 5, amountCharged: 0, carParksVisited: ['5'], arrivalTime: 8160
Event: carStopsCharging at time 26760.0 with data Car ID: 18, chargingVolume: 31, connectionTime: 41018 parkingPlace: 5, amountCharged: 31.000000000000004, carParksVisited: ['5'], arrivalTime: 8160
Event: carExpectedStopCharging at time 26932.0 with data Car ID: 23, chargingVolume: 5, connectionTime: 64444 parkingPlace: 2, amountCharged: 0, carParksVisited: ['2'], arrivalTime: 23932
Event: carStopsCharging at time 26932.0 with data Car ID: 23, chargingVolume: 5, connectionTime: 64444 parkingPlace: 2, amountCharged: 5.0, carParksVisited: ['2'], arrivalTime: 23932
Event: carArrives at time 27344 with data Car ID: 35, chargingVolume: 42, connectionTime: 50177 parkingPlace: 2, amountCharged: 0, carParksVisited: ['2'], arrivalTime: 27344
Event: carBeginsCharging at time 27344 with data Car ID: 35, chargingVolume: 42, connectionTime: 50177 parkingPlace: 2, amountCharged: 0, carParksVisited: ['2'], arrivalTime: 27344
Event: carArrives at time 27403 with data Car ID: 36, chargingVolume: 6, connectionTime: 18349 parkingPlace: 4, amountCharged: 0, carParksVisited: ['4'], arrivalTime: 27403
Event: carBeginsCharging at time 27403 with data Car ID: 36, chargingVolume: 6, connectionTime: 18349 parkingPlace: 4, amountCharged: 0, carParksVisited: ['4'], arrivalTime: 27403
Event: carArrives at time 27419 with data Car ID: 37, chargingVolume: 6, connectionTime: 44481 parkingPlace: 1, amountCharged: 0, carParksVisited: ['1'], arrivalTime: 27419
Event: carBeginsCharging at time 27419 with data Car ID: 37, chargingVolume: 6, connectionTime: 44481 parkingPlace: 1, amountCharged: 0, carParksVisited: ['1'], arrivalTime: 27419
